"ID","timepoint","CD4_T_IFN_I_Response","CD4_T_CD4_Tr1_Regulatory","CD4_T_Immune_Checkpoint","CD8_T_IFN_I_Response","CD8_T_Cytotoxic_Effector","CD8_T_Immune_Checkpoint","NK_IFN_I_Response","NK_Cytotoxic_Effector","NK_Immune_Checkpoint","GammaDelta_T_Cytotoxic_Effector","GammaDelta_T_Antigen_Presentation","B_Humoral_Bcell","B_Breg_Regulatory","B_Antigen_Presentation","Plasma_Humoral_Bcell","Mono_CD14_Inflammatory_Response","Mono_CD14_Myeloid_Suppressive","Mono_CD14_Antigen_Presentation","Mono_CD14_Fc_Opsonophagocytosis","Mono_CD16_Inflammatory_Response","Mono_CD16_Myeloid_Suppressive","Mono_CD16_Fc_Opsonophagocytosis","DC_Antigen_Presentation","DC_IFN_I_Response","comp_B","comp_CD4_T","comp_CD8_T","comp_DC","comp_GammaDelta_T","comp_Mono_CD14","comp_Mono_CD16","comp_Plasma","comp_Platelet","comp_Proliferating","comp_Unknown","comp_HSPC","comp_NK"
"adult1","Day0",-0.248082844360428,-0.0594803964024223,0.0464226114552404,-0.248082844360428,-0.208129412219108,0.0487850827339314,-0.248082844360428,-0.208129412219108,0.0487850827339314,-0.243282712810101,-0.542413315763634,0.125480660606118,-0.0114001866677346,-0.546135395037108,0.125480660606118,-0.326590222215409,-0.199434575698954,-0.546135395037108,-0.109559190377205,-0.326590222215409,-0.199434575698954,-0.115435434719571,-0.553786233395322,-0.249574134046026,0.247268754552076,0.000728332119446468,0.000364166059723234,0.0735615440640932,0.446467589220685,0.0178441369264385,0.143845593590677,0.0528040786598689,0.00837581937363438,0.00254916241806264,0.00619082301529497,0,0
"adult1","Day28",-0.203615392311857,-0.0559613103115357,0.00259158931258593,-0.203615392311857,0.11369100946073,0.00255602040806673,-0.203615392311857,0.11369100946073,0.00255602040806673,0.0733608887106032,-0.468635174005453,0.0652585316369449,-0.000364671088511867,-0.461364688784982,0.0652585316369449,-0.282170631127407,-0.125447004855185,-0.461364688784982,0.041440017428318,-0.282170631127407,-0.125447004855185,0.0301297435063493,-0.477342301068369,-0.21039981797959,0.246681019016864,0.0181198421241478,0.00825260136347327,0.0712235378543236,0.343738787226408,0.0236813778256189,0.199138858988159,0.0757086472909939,0.00251166128453534,0.000717617509867241,0.00897021887334051,0.00053821313240043,0.000717617509867241
"adult1","Day7",0.0023478539067237,-0.0656269301867426,0.0422634811402509,0.0023478539067237,0.0665160994330115,0.046219181437037,0.0023478539067237,0.0665160994330115,0.046219181437037,0.0525008447492116,-0.0474000720831609,0.0503443703310536,0.00882811221502637,-0.0423058404580402,0.0503443703310536,0.476550952238725,0.283202932022546,-0.0423058404580402,0.272987179974632,0.476550952238725,0.283202932022546,0.261758482455782,-0.0559746735587294,0.00545987098214263,0.175896964121435,0.164673413063477,0.022263109475621,0.0671573137074517,0.242870285188592,0.0101195952161914,0.213615455381785,0.0643974241030359,0.00386384544618215,0.0128794848206072,0.0110395584176633,0.000735970561177553,0.0104875804967801
"adult2","Day0",-0.164972868625535,0.0202379717576249,0.0278805401175594,-0.164972868625535,-0.693390277332269,0.030484564762486,-0.164972868625535,-0.693390277332269,0.030484564762486,-0.714998995073507,-0.365895975503432,-0.132658470271084,-0.0182377412309165,-0.376765691151531,-0.132658470271084,-0.1924858414205,0.808100053037252,-0.376765691151531,0.157065808283393,-0.1924858414205,0.808100053037252,0.162204765109567,-0.389170442363508,-0.168370337702051,0.128658951667801,0.21068754254595,0.0285908781484003,0.0677331518039483,0.456773315180395,0.000340367597004765,0.0323349217154527,0.0377808032675289,0.011572498298162,0.0010211027910143,0.00612661674608577,0.000340367597004765,0.0180394826412526
"adult2","Day28",-0.148353097029296,0.0102050958937574,-0.00905574090206489,-0.148353097029296,-0.331973814602272,-0.0115566338035581,-0.148353097029296,-0.331973814602272,-0.0115566338035581,-0.374870649120003,-0.662155259200715,-0.0911958565730641,-0.014203590742053,-0.683304734809082,-0.0911958565730641,-0.322574870260116,-0.202062558611688,-0.683304734809082,-0.0905447248721929,-0.322574870260116,-0.202062558611688,-0.0851725276657584,-0.69892974873035,-0.162171244020605,0.177717019822283,0.00569605832763728,0.00455684666210982,0.0574162679425837,0.511733880154933,0.0145819093187514,0.129186602870813,0.0827067669172932,0.00296195033037138,0.000683526999316473,0.00956937799043062,0.000455684666210982,0.00273410799726589
"adult2","Day7",-0.162389952074997,0.00595796800329339,0.0102447736762093,-0.162389952074997,-0.115218056460741,0.00755182068444516,-0.162389952074997,-0.115218056460741,0.00755182068444516,-0.15623301549424,-0.34990625714232,-0.00414314816497925,0.0420070059101708,-0.37721597606084,-0.00414314816497925,-0.332382840914203,-0.175841593252984,-0.37721597606084,-0.0370924911275949,-0.332382840914203,-0.175841593252984,-0.0312334720402043,-0.383904704080384,-0.174037995086295,0.183705168031629,0.0135554927986445,0.00225924879977408,0.115786500988421,0.421632307257837,0.0189212086981079,0.151652075684835,0.0779440835922056,0.00381248234961875,0.00310646709968935,0.00508330979949167,0.000564812199943519,0.00197684269980232
"adult3","Day0",-0.259095853424137,0.0328533071640181,-0.00137682399004789,-0.259095853424137,-0.838033290535503,-0.00325789460269861,-0.259095853424137,-0.838033290535503,-0.00325789460269861,-0.885658415036977,-0.969557883223154,-0.120777405841761,-0.0445943766517347,-0.998212391784925,-0.120777405841761,-0.363110361838672,-0.220836390637133,-0.998212391784925,-0.17658604201238,-0.363110361838672,-0.220836390637133,-0.174908851216382,-1.02116120632239,-0.277182300881539,0.145989304812834,0.00320855614973262,0,0.0181818181818182,0.684491978609626,0.00053475935828877,0.0310160427807487,0.072192513368984,0.00267379679144385,0.00053475935828877,0.0390374331550802,0,0.00213903743315508
"adult3","Day28",-0.232612736814576,-0.0196588911574623,-0.0117238092053281,-0.232612736814576,-0.243130895609054,-0.0140864148244572,-0.232612736814576,-0.243130895609054,-0.0140864148244572,-0.281310509814802,-0.548695411748084,-0.0774221918378125,-0.0192701546529879,-0.567584941471057,-0.0774221918378125,-0.220164674325834,-0.113513986469163,-0.567584941471057,-0.035552025925692,-0.220164674325834,-0.113513986469163,-0.0317623426993288,-0.578409060695975,-0.245683761591621,0.219303797468354,0.0343354430379747,0.00775316455696203,0.0643987341772152,0.39746835443038,0.00901898734177215,0.139398734177215,0.114556962025316,0.00253164556962025,0.00110759493670886,0.0055379746835443,0.000316455696202532,0.00427215189873418
"adult3","Day7",-0.25401821628343,0.033154641035222,-0.0151730273225041,-0.25401821628343,-0.528518356724084,-0.0162892024264872,-0.25401821628343,-0.528518356724084,-0.0162892024264872,-0.576916909324748,-0.631980721739078,-0.0513612284238857,-0.0103058339001107,-0.644667986399831,-0.0513612284238857,-0.397599810772269,-0.188419147130261,-0.644667986399831,-0.106109418422668,-0.397599810772269,-0.188419147130261,-0.100661592533249,-0.66563351165447,-0.264699303495891,0.18562874251497,0.0121295869798864,0.00506678949792722,0.0784584676800246,0.517119606939966,0.00706279748195916,0.109012743743283,0.0658682634730539,0.00353139874097958,0.00107477352986335,0.00813757101182251,0.00107477352986335,0.00583448487640104
"child1","Day28",-0.17409907211722,-0.063009062561609,-0.0278340060453208,-0.17409907211722,-0.312348222560162,-0.0256764920149235,-0.17409907211722,-0.312348222560162,-0.0256764920149235,-0.360459386335544,-0.266917119200454,0.210585231786678,0.0377444605150617,-0.257408471878312,0.210585231786678,-0.0849265091622986,-0.0369795013616605,-0.257408471878312,0.0392618445592155,-0.0849265091622986,-0.0369795013616605,0.0316730050807205,-0.295067255565018,-0.168504809468701,0.201551501221089,0.0617727338026146,0.0149403821290045,0.132452233874443,0.350093377388306,0.0193937652636115,0.129004453383135,0.0607671311593162,0.00531532825743428,0.00258583536848154,0.0119235741991093,0.000143657520471197,0.0100560264329838
