,precision,recall,f1-score,support
D28,0.6666666666666666,1.0,0.8,6.0
D0,1.0,0.4,0.5714285714285714,5.0
accuracy,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273
macro avg,0.8333333333333333,0.7,0.6857142857142857,11.0
weighted avg,0.8181818181818182,0.7272727272727273,0.6961038961038961,11.0
