program,U,p_value,cliffs_delta,median_correct,median_adjacent,n_correct,n_adjacent,delta_magnitude
CD8_T_Immune_Checkpoint,41.0,0.2786037491919845,0.36666666666666664,-0.0035038961338645,-0.0251880444782766,12,5,medium
CD4_T_Immune_Checkpoint,42.0,0.2343244990303814,0.4,-0.0041504648317708,-0.0238966925339043,12,5,medium
NK_Immune_Checkpoint,41.0,0.2786037491919845,0.36666666666666664,-0.0035038961338645,-0.0251880444782766,12,5,medium
comp_Plasma,37.0,0.5058177117000646,0.23333333333333334,0.06552896756693816,0.0607671311593162,12,5,small
comp_Platelet,26.0,0.7213962508080154,-0.13333333333333333,0.0038087024279835997,0.0053153282574342,12,5,negligible
