,precision,recall,f1-score,support
0,1.0,0.6,0.75,5.0
1,0.5714285714285714,0.6666666666666666,0.6153846153846154,6.0
2,0.7142857142857143,0.8333333333333334,0.7692307692307693,6.0
accuracy,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.7058823529411765
macro avg,0.7619047619047619,0.7000000000000001,0.7115384615384616,17.0
weighted avg,0.7478991596638656,0.7058823529411765,0.7092760180995475,17.0
